4.45185 0.924689 0.790377 1.17157 0.888666 0.931248 1.15667 0.938257 0.90412 1.14775 
4.5178 0.910472 0.795086 1.18384 0.96538 0.951512 1.13673 0.954979 0.930919 1.08065 
4.58376 0.882016 0.824177 1.16268 0.909359 0.990041 1.12049 0.979713 0.941476 1.03963 
4.64971 0.901056 0.831466 1.16617 0.967755 0.998814 1.07567 0.991031 0.96465 1.0588 
4.71566 0.890502 0.83595 1.12696 1.03528 1.02793 1.05195 1.04589 0.986054 1.02905 
4.78162 0.902696 0.8394 1.0982 0.911316 1.04699 1.03072 1.04096 0.999068 1.0533 
4.84757 0.88758 0.857787 1.08421 0.881669 1.08977 1.01662 0.964649 1.01951 1.02275 
4.91352 0.921666 0.874504 1.06066 0.891378 1.09614 0.994525 0.976054 1.04416 0.995588 
4.97948 0.946248 0.89989 1.03186 0.996985 1.10231 0.968432 0.913585 1.06273 0.928075 
5.04543 0.936662 0.920146 1.00361 1.07734 1.14295 0.94761 0.892946 1.07077 0.9428 
5.11138 0.962764 0.932649 0.982865 1.044 1.15565 0.940511 0.96455 1.07995 0.923639 
5.17734 0.966239 0.954872 0.965736 0.965359 1.16985 0.932087 1.05336 1.0938 0.947478 
5.24329 0.985023 0.962891 0.952567 0.998998 1.17409 0.92444 1.00243 1.09775 0.934345 
5.30924 1.03985 0.972189 0.941703 1.0675 1.17612 0.919206 1.01896 1.10592 0.905538 
5.3752 1.04217 1.00704 0.930226 1.08283 1.19137 0.915864 1.01615 1.10834 0.90469 
5.44115 1.05537 1.03031 0.927796 1.12446 1.2109 0.917915 0.987952 1.10441 0.919661 
5.5071 1.0831 1.04953 0.928548 1.08265 1.21563 0.922632 0.909987 1.10057 0.919098 
5.57306 1.07821 1.05724 0.921714 1.00528 1.20944 0.920236 1.03161 1.08901 0.932357 
5.63901 1.0807 1.0501 0.914056 1.14856 1.21946 0.91987 1.0551 1.07864 0.944102 
5.70496 1.05936 1.04689 0.90747 1.12119 1.20406 0.935253 0.963198 1.06825 0.932654 
5.77092 1.1155 1.03526 0.918103 1.22793 1.18255 0.942825 0.875437 1.06503 0.96126 
5.83687 1.11077 1.04912 0.922906 1.20564 1.19466 0.950997 0.875383 1.06275 0.962041 
5.90282 1.13715 1.05955 0.929726 1.17998 1.17674 0.961825 0.863603 1.05043 0.971464 
5.96878 1.15386 1.0579 0.940142 1.13794 1.16171 0.965694 0.955195 1.03291 0.98521 
6.03473 1.15575 1.04661 0.954152 1.10629 1.13608 0.974249 0.899454 1.03036 0.996857 
